REQID;TCID
01.01.01;01.01.TC01
01.01.01;01.01.TC02
01.01.01;01.01.TC03
01.01.01;01.01.TC04
01.01.01;01.01.TC06
01.01.01;01.01.TC07
01.01.01;01.01.TC08
01.01.02;01.01.TC05
01.01.02;01.01.TC07
01.01.02;01.01.TC08
01.02.01;01.02.TC01
01.02.01;01.02.TC02
01.02.01;01.02.TC03
01.02.01;01.02.TC04
01.02.01;01.02.TC05
01.02.01;01.02.TC06
01.02.01;01.02.TC07
01.02.01;01.02.TC08
01.02.01;01.02.TC09
01.02.01;01.02.TC10
01.02.01;01.02.TC11
01.02.02;01.02.TC12
01.02.02;01.02.TC13
01.03.01;01.03-TC01
01.03.02;01.03-TC02
01.04.01;01.04-TC01
01.05.01;01.05-TC01
01.06.01;01.06-TC01
02.01.01;02.01-TC01
02.01.02;02.01-TC02
02.01.03;02.01-TC03
02.02.01;02.02-TC01
02.02.02;02.02-TC02
02.02.03;02.02-TC03
02.03.01;02.03-TC01
02.03.02;02.03-TC02
02.04.01;02.04-TC01
02.05.01;02.05-TC01
03.00.01;03.00-TC01
03.01.01;03.01-TC01
03.01.02;03.01-TC02
03.02.01;03.02-TC01
03.02.02;03.02-TC02
03.03.01;03.03-TC01
03.03.02;03.03-TC02
03.04.01;03.04-TC01
03.04.02;03.04-TC02
03.05.01;03.05-TC01
03.06.01;03.06-TC01
04.01.01;04.01-TC01
04.01.02;04.01-TC02
04.02.01;04.02-TC01
04.03.01;04.03-TC01
04.04.01;04.04-TC01
05.01.01;05.01-TC01
05.02.01;05.02-TC01
05.03.01;05.03-TC01
05.04.01;05.04-TC01
06.01.01;06.01-TC01
06.02.01;06.02-TC01
06.03.01;06.03-TC01
06.04.01;06.04-TC01
06.05.01;06.05-TC01
06.06.01;06.06-TC01
07.01.01;07.01-TC01
07.02.01;07.02-TC01
07.03.01;07.03-TC01
07.04.01;07.04-TC01
07.05.01;07.05-TC01
