Category;Description;TCID;REQID;MappedTCsCount;FeatureREQID;UserStoryCount
C2;TCID 'TC0009' from test_cases.csv is not mapped in REQID_TCID.csv;TC0009;;;;
C2;TCID 'TC0010' from test_cases.csv is not mapped in REQID_TCID.csv;TC0010;;;;
C2;TCID 'TC0011' from test_cases.csv is not mapped in REQID_TCID.csv;TC0011;;;;
C2;TCID 'TC0012' from test_cases.csv is not mapped in REQID_TCID.csv;TC0012;;;;
C2;TCID 'TC0013' from test_cases.csv is not mapped in REQID_TCID.csv;TC0013;;;;
C2;TCID 'TC0014' from test_cases.csv is not mapped in REQID_TCID.csv;TC0014;;;;
C2;TCID 'TC0015' from test_cases.csv is not mapped in REQID_TCID.csv;TC0015;;;;
C2;TCID 'TC0016' from test_cases.csv is not mapped in REQID_TCID.csv;TC0016;;;;
C2;TCID 'TC0017' from test_cases.csv is not mapped in REQID_TCID.csv;TC0017;;;;
C2;TCID 'TC0018' from test_cases.csv is not mapped in REQID_TCID.csv;TC0018;;;;
C2;TCID 'TC0019' from test_cases.csv is not mapped in REQID_TCID.csv;TC0019;;;;
C2;TCID 'TC0020' from test_cases.csv is not mapped in REQID_TCID.csv;TC0020;;;;
C2;TCID 'TC0021' from test_cases.csv is not mapped in REQID_TCID.csv;TC0021;;;;
C2;TCID 'TC0022' from test_cases.csv is not mapped in REQID_TCID.csv;TC0022;;;;
C2;TCID 'TC0023' from test_cases.csv is not mapped in REQID_TCID.csv;TC0023;;;;
C2;TCID 'TC0024' from test_cases.csv is not mapped in REQID_TCID.csv;TC0024;;;;
C2;TCID 'TC0025' from test_cases.csv is not mapped in REQID_TCID.csv;TC0025;;;;
C2;TCID 'TC0026' from test_cases.csv is not mapped in REQID_TCID.csv;TC0026;;;;
C2;TCID 'TC0027' from test_cases.csv is not mapped in REQID_TCID.csv;TC0027;;;;
C2;TCID 'TC0028' from test_cases.csv is not mapped in REQID_TCID.csv;TC0028;;;;
C2;TCID 'TC0029' from test_cases.csv is not mapped in REQID_TCID.csv;TC0029;;;;
C2;TCID 'TC0030' from test_cases.csv is not mapped in REQID_TCID.csv;TC0030;;;;
C2;TCID 'TC0031' from test_cases.csv is not mapped in REQID_TCID.csv;TC0031;;;;
C2;TCID 'TC0032' from test_cases.csv is not mapped in REQID_TCID.csv;TC0032;;;;
